TikTok Metadata,,,,,,,,,,,,Song Metadata,,,,,Time Length,,,BPM,,Lyrics,,,,,,
Song Rank,Link,Video File Name,Creator,Follower Count,Category,Verified?,Like Count,View Count,Like Count (M),View Count (M),Post Date,Name,Artist,Genre,Release Year,"Notes (remixed, another audio overlayed, etc)",Length of Song,Clip Timestamp,Clip Length (sec),Avg BPM of Full Song,Avg BPM of Clip,Full - Total word #,Full - Total unique word#,Full - Repetition Ratio,Clip - Total word #,Clip - Total unique word#,Clip - Repetition Ratio,Clip Location
7,https://www.tiktok.com/t/ZTkBcjKAD/,TeQueriaVer_9,@odalysanddafnne,"23,000,000",Lip Sync,1,2.6M,19.6M,2.6,19.6,4/9/2025,Te Quería Ver,Alemán & Neton Vega,Reggaeton,2025,,2:56,1:33 - 1:46,13,100,100,336,173,0.4851,35,12,0.6571,Verse 2
7,https://www.tiktok.com/t/ZTkBcu2KT/,TeQueriaVer_10,@soyaldooo,"13,000,000",Lip Sync,1,3.5M,22.8M,3.5,22.8,4/28/2025,Te Quería Ver,Alemán & Neton Vega,Reggaeton,2025,,2:56,0:08 - 0:23,15,100,100,336,173,0.4851,18,11,0.3889,Chorus
8,https://www.tiktok.com/@jennifer.coppen/video/7485991142891261190?_r=1&_t=ZT-95AWH4Qbtzp,StecuStecu_1,@jennifer.coppen,"16,600,000",Humor,1,5.3M,77M,5.3,77,3/26/25,Stecu Stecu,Faris Adam,Pop,2025,Non-English,3:43,2:49 - 3:03,14,103,103,215,72,0.6651,22,21,0.0455,Chorus
8,https://www.tiktok.com/@jennifer.coppen/video/7490484729775459602,StecuStecu_2,@jennifer.coppen,"16,600,000",Dance,1,4M,58.9M,4,58.9,4/7/2025,Stecu Stecu,Faris Adam,Pop,2025,Sped Up + Count intro,3:43,2:35 - 3:00,25,103,142,215,72,0.6651,35,12,0.6571,Verse 5 + Chorus
8,https://www.tiktok.com/@jennifer.coppen/video/7492692270190251269,StecuStecu_3,@jennifer.coppen,"16,600,000",Lip Sync,1,3.9M,51.9M,3.9,51.9,4/13/2025,Stecu Stecu,Faris Adam,Pop,2025,Sped Up,3:43,2:35 - 2:49,14,103,135,215,72,0.6651,20,19,0.0500,Verse 5 
8,https://www.tiktok.com/@thebaldys_fam/video/7490197963042458887,StecuStecu_4,@thebaldys_fam,"448,100",Dance,0,3.5M,53.8M,3.5,53.8,4/6/2025,Stecu Stecu,Faris Adam,Pop,2025,Sped Up + Count intro,3:43,2:35 - 3:00,25,103,142,215,72,0.6651,35,12,0.6571,Verse 5 + Chorus
8,https://www.tiktok.com/@flaviozaviera_/video/7490217855015800071,StecuStecu_5,@flaviozaviera_,"4,300,000",Dance,0,3.5M,54.4M,3.5,54.4,4/6/2025,Stecu Stecu,Faris Adam,Pop,2025,Sped Up + Count intro,3:43,2:35 - 3:00,25,103,142,215,72,0.6651,35,12,0.6571,Verse 5 + Chorus
8,https://www.tiktok.com/@davinakaramoy/video/7491546954745351442,StecuStecu_6,@davinakaramoy,"6,100,000",Dance,1,3.5M,52M,3.5,52,4//10/25,Stecu Stecu,Faris Adam,Pop,2025,Sped Up + Count intro,3:43,2:35 - 3:00,25,103,142,215,72,0.6651,35,12,0.6571,Verse 5 + Chorus
8,https://www.tiktok.com/@szzuuulaak/video/7490154562121125128,StecuStecu_7,@szzuuulaak,"272,800",Dance,0,2.8M,35.1M,2.8,35.1,4/6/2025,Stecu Stecu,Faris Adam,Pop,2025,Sped Up + Count intro,3:43,2:35 - 3:00,25,103,142,215,72,0.6651,35,12,0.6571,Verse 5 + Chorus
8,https://www.tiktok.com/@fujiiian/video/7492074055357566215,StecuStecu_8,@fujiiian,"38,900,000",Dance,1,3.3M,65.3M,3.3,65.3,4/11/2025,Stecu Stecu,Faris Adam,Pop,2025,Sped Up + Count intro,3:43,2:35 - 3:00,25,103,142,215,72,0.6651,35,12,0.6571,Verse 5 + Chorus
8,https://www.tiktok.com/@andrewxbarrett/video/7490073692081294599,StecuStecu_9,@andrewxbarrett,"255,700",Humor,0,2.7M,39.3M,2.7,39.3,4/6/2025,Stecu Stecu,Faris Adam,Pop,2025,,3:43,2:49 - 3:03,14,103,103,215,72,0.6651,22,21,0.0455,Chorus
8,https://www.tiktok.com/@concheetah/video/7488926383003979016,StecuStecu_10,@concheetah,"239,000",Dance,0,2.7M,52.5M,2.7,52.5,4/2/2025,Stecu Stecu,Faris Adam,Pop,2025,Sped Up + Count intro,3:43,2:35 - 3:00,25,103,142,215,72,0.6651,35,12,0.6571,Verse 5 + Chorus
9,https://www.tiktok.com/@willsmith/video/7481699258819693870,Anxiety_1,@willsmith,"78,500,000",Dance,1,39.7M,343.5M,39.7,343.5,3/14/25,Anxiety,Doechii,Pop Rap,2025,somebodys watching me,4:09,1:29 - 1:45,16,129,129,519,141,0.7283,43,23,0.4651,Refrain + Chorus
9,https://www.tiktok.com/@my4c0re/video/7475110913058622763,Anxiety_2,@my4c0re,"34,000",Humor,0,12M,72.5M,12,72.5,2/24/2025,Anxiety,Doechii,Pop Rap,2025,i feel it quietly,4:09,1:21 - 1:41,20,129,129,519,141,0.7283,,,,Refrain + Chorus
